WellId;X;Y;DepthFrom;DepthTo;Rock;Porosity
W-0002;80.04;70.10;0.00;18.08;Sandstone;0.327
W-0002;128.35;59.72;18.08;37.07;Shale;0.289
W-0002;84.02;74.15;37.07;52.39;Limestone;0.027
W-0002;84.53;79.28;52.39;64.04;Dolomite;0.305
W-0002;102.37;90.16;64.04;76.10;Limestone;0.053
W-0002;112.15;99.48;76.10;85.89;Limestone;0.078
W-0002;80.35;65.43;85.89;94.66;Shale;0.060
W-0002;103.28;51.05;94.66;110.81;Sandstone;0.028
W-0002;127.86;79.58;110.81;118.55;Dolomite;0.353
BAD-OVR1;111.83;55.62;0.00;10.00;Shale;0.204
W-0002;110.19;78.23;130.18;132.55;Dolomite;0.346
W-0002;113.13;82.65;132.55;139.04;Dolomite;0.118
W-0002;85.68;68.75;139.04;148.45;Limestone;0.158
W-0002;99.78;61.10;148.45;163.74;Limestone;0.166
W-0002;112.17;91.49;163.74;164.91;;0.287
W-0002;100.02;65.06;164.91;180.22;Limestone;0.049
W-0002;91.75;75.83;180.22;182.39;Dolomite;0.207
W-0002;127.40;58.17;182.39;188.80;Shale;0.255
W-0002;125.96;69.17;188.80;202.89;Shale;0.119
W-0002;97.51;62.95;202.89;206.17;Shale;0.117
W-0002;119.89;78.07;206.17;223.55;Sandstone;1.500
W-0002;129.31;90.33;223.55;229.55;Dolomite;0.016
W-0002;117.98;70.24;229.55;243.07;Limestone;0.149
W-0002;92.30;51.41;243.07;246.54;Limestone;0.074
W-0002;99.61;83.10;246.54;266.37;Limestone;0.345
W-0002;102.94;84.66;266.37;271.38;Dolomite;1.500
W-0002;106.82;87.04;271.38;287.01;Limestone;0.230
W-0002;97.10;52.74;287.01;294.95;Dolomite;0.353
W-0002;113.73;99.84;294.95;312.33;Dolomite;0.114
W-0002;129.98;69.70;312.33;320.54;Limestone;0.295
W-0002;80.75;78.34;320.54;337.69;Limestone;0.152
W-0002;114.77;91.37;337.69;342.72;Shale;0.296
W-0002;105.58;98.38;342.72;351.30;Sandstone;0.032
W-0002;82.11;80.46;351.30;365.29;Sandstone;0.271
W-0002;129.53;81.03;365.29;373.84;Dolomite;0.336
W-0002;111.09;54.09;373.84;392.43;;0.102
W-0002;82.16;96.57;392.43;405.76;Sandstone;0.041
W-0002;114.68;50.85;405.76;410.18;Sandstone;0.124
W-0002;123.91;88.13;410.18;417.50;Limestone;0.154
W-0002;82.40;96.47;417.50;434.11;Dolomite;0.157
W-0002;126.37;88.10;434.11;452.12;Limestone;0.023
W-0002;116.51;73.64;452.12;466.50;Limestone;0.078
W-0002;103.89;50.09;466.50;477.41;Shale;0.147
W-0002;119.00;89.22;477.41;484.00;Sandstone;0.029
W-0002;103.33;68.46;484.00;497.72;Shale;0.357
W-0002;92.01;57.66;497.72;508.44;Dolomite;0.050
W-0002;92.81;64.02;508.44;528.08;Limestone;0.177
W-0002;111.20;77.06;528.08;539.89;Sandstone;0.281
W-0002;114.21;75.78;539.89;551.10;Sandstone;0.048
W-0002;104.53;92.90;551.10;565.53;Shale;0.341
W-0003;83.28;50.51;15.16;10.16;Limestone;0.044
BAD-OVR1;110.94;80.67;5.00;13.00;Sandstone;0.107
W-0003;117.33;66.76;28.05;34.91;Limestone;0.166
W-0003;110.05;63.23;34.91;47.20;Limestone;0.023
W-0003;119.84;57.30;47.20;49.03;Dolomite;0.141
W-0003;110.93;76.55;49.03;56.37;Limestone;0.143
W-0003;98.57;62.70;56.37;65.81;Shale;0.214
W-0003;106.09;74.40;65.81;71.36;Limestone;0.132
W-0003;96.35;52.50;71.36;80.21;Sandstone;0.053
W-0003;83.61;90.34;80.21;99.72;Sandstone;0.211
W-0003;129.86;87.14;99.72;105.27;Shale;0.212
W-0003;118.89;71.59;105.27;124.44;Dolomite;0.034
W-0003;83.48;53.64;124.44;138.39;Limestone;0.268
W-0003;91.77;68.55;138.39;154.56;Limestone;0.202
W-0003;122.12;71.29;154.56;163.29;Shale;0.095
W-0003;104.56;68.21;163.29;177.22;Limestone;0.196
W-0003;126.09;94.41;177.22;195.52;Limestone;0.237
W-0003;120.93;74.21;220.16;215.16;Sandstone;0.053
W-0003;80.03;81.96;215.16;217.49;Limestone;0.280
W-0003;87.62;86.43;217.49;222.17;Dolomite;0.287
W-0003;96.90;56.30;222.17;226.76;Limestone;0.133
W-0003;105.53;78.79;226.76;238.06;Dolomite;0.189
W-0003;111.85;87.05;238.06;252.80;;0.168
W-0003;97.16;81.05;252.80;259.55;Limestone;0.238
W-0003;105.12;53.21;259.55;271.81;Limestone;0.129
W-0003;112.32;50.30;271.81;274.65;Dolomite;0.065
W-0003;116.33;71.74;274.65;278.16;Limestone;0.259
W-0003;105.48;57.98;286.60;281.60;Sandstone;0.286
W-0003;103.95;63.49;281.60;287.89;Sandstone;0.210
W-0003;122.45;99.11;287.89;297.91;Shale;0.319
W-0003;85.62;51.61;297.91;303.37;Shale;0.078
W-0003;117.60;93.90;303.37;315.47;Sandstone;1.500
W-0003;126.61;53.38;315.47;333.77;Dolomite;0.306
W-0003;103.76;64.05;333.77;339.98;;0.360
W-0003;106.21;75.87;339.98;349.21;Dolomite;0.329
W-0003;82.35;57.04;349.21;360.73;Dolomite;0.067
W-0003;95.64;88.53;360.73;380.06;Shale;0.174
W-0003;102.32;63.88;380.06;383.22;Limestone;0.079
W-0003;93.00;54.69;383.22;386.81;Dolomite;0.049
W-0003;80.65;77.52;386.81;388.43;Sandstone;0.085
W-0003;83.59;91.27;388.43;407.83;Limestone;1.500
W-0003;103.10;54.36;407.83;426.01;;0.165
W-0003;106.34;92.60;426.01;442.43;Limestone;0.050
W-0003;127.89;63.05;442.43;449.52;Dolomite;0.243
W-0003;81.90;53.20;449.52;451.09;Dolomite;0.301
W-0003;112.29;57.50;451.09;462.64;Limestone;0.203
BAD-OVR1;127.18;51.81;8.00;16.00;Sandstone;0.290
W-0003;110.04;51.40;465.99;479.36;Sandstone;0.170
W-0003;119.44;82.50;479.36;488.62;Limestone;0.082
BAD-OVR1;97.84;57.19;11.00;19.00;Sandstone;0.140
W-0004;129.25;75.45;0.00;5.85;Limestone;0.215
W-0004;106.00;61.97;5.85;12.56;;0.157
W-0004;109.93;92.95;12.56;22.30;Sandstone;0.125
W-0004;88.25;98.86;22.30;34.84;Dolomite;0.067
W-0004;88.90;66.75;34.84;53.80;Shale;0.336
W-0004;104.24;89.59;53.80;67.41;Sandstone;0.050
W-0004;122.72;65.47;67.41;76.81;Limestone;0.199
W-0004;127.89;81.05;76.81;82.20;Limestone;0.259
W-0004;104.71;57.29;82.20;98.71;Shale;0.355
W-0004;104.13;60.69;98.71;106.26;Sandstone;0.050
W-0004;97.38;95.93;106.26;113.13;Dolomite;0.249
W-0004;100.76;78.27;113.13;128.29;Sandstone;1.500
W-0004;89.83;90.30;128.29;137.58;Limestone;0.295
W-0004;127.56;91.13;137.58;150.42;Shale;0.048
W-0004;109.55;98.22;150.42;166.71;Limestone;0.203
W-0004;127.37;89.07;166.71;171.43;Sandstone;0.014
W-0004;125.42;53.23;171.43;190.25;Shale;0.339
W-0004;110.04;66.33;190.25;206.25;Dolomite;0.123
W-0004;127.91;54.61;206.25;214.86;Dolomite;0.053
W-0004;111.41;87.44;214.86;231.27;Shale;0.116
W-0004;121.12;57.29;231.27;232.56;Dolomite;0.087
W-0004;121.10;50.29;232.56;248.66;Dolomite;0.179
W-0004;110.26;67.40;248.66;266.43;Limestone;0.359
W-0004;129.77;89.62;266.43;279.59;Shale;0.119
W-0004;104.99;57.29;279.59;293.13;Dolomite;0.207
W-0004;120.53;69.22;293.13;308.61;Sandstone;0.283
W-0004;86.59;87.78;308.61;311.63;Sandstone;0.352
W-0004;99.30;57.18;311.63;324.22;Shale;0.079
W-0004;100.42;57.61;324.22;339.49;Sandstone;0.195
W-0004;83.91;59.92;339.49;356.34;;0.131
BAD-OVR1;125.76;95.85;14.00;22.00;Shale;0.011
W-0004;129.34;69.29;365.76;377.54;Sandstone;0.131
W-0004;113.72;89.05;377.54;394.03;Limestone;0.093
W-0004;122.42;92.42;394.03;413.07;Dolomite;0.184
W-0004;105.57;89.00;413.07;430.34;Limestone;0.059
W-0004;127.99;78.75;444.13;439.13;Sandstone;0.115
W-0004;123.76;92.68;439.13;442.78;Shale;0.243
W-0004;90.34;66.01;442.78;459.13;Shale;0.135
W-0004;114.72;87.81;459.13;478.37;Shale;0.258
W-0004;86.25;51.46;478.37;487.36;Sandstone;0.017
W-0004;92.10;86.74;487.36;493.01;Dolomite;0.055
