WellId;X;Y;DepthFrom;DepthTo;Rock;Porosity
W-0002;97.98;54.84;0.00;2.57;Limestone;0.055
W-0002;86.79;61.07;2.57;21.17;Shale;0.214
W-0002;83.98;90.36;21.17;40.28;Limestone;0.281
W-0002;106.19;89.04;40.28;54.33;Dolomite;0.201
W-0002;80.77;54.70;54.33;61.75;Limestone;0.200
W-0002;107.49;60.20;61.75;79.79;Dolomite;0.283
W-0002;93.03;60.63;79.79;83.62;Dolomite;0.159
W-0002;111.00;91.59;83.62;89.05;Limestone;0.183
W-0002;106.02;85.32;89.05;94.11;Sandstone;0.223
W-0002;122.01;77.29;110.56;105.56;Limestone;0.151
W-0002;121.50;90.99;105.56;119.48;Sandstone;0.343
W-0002;116.00;62.55;119.48;120.98;Limestone;0.026
W-0002;94.67;86.17;120.98;128.72;Dolomite;0.078
W-0002;107.46;84.99;128.72;141.10;Dolomite;0.288
W-0002;113.51;76.27;141.10;153.41;Limestone;0.356
W-0002;85.16;98.03;153.41;169.80;Sandstone;0.350
W-0002;83.63;78.86;169.80;187.51;Dolomite;0.218
W-0002;103.08;61.02;187.51;201.06;Shale;0.266
W-0002;93.33;95.32;201.06;208.74;Dolomite;0.273
W-0002;101.78;98.97;208.74;210.20;Dolomite;0.140
W-0002;119.23;72.23;210.20;216.19;;0.079
W-0002;117.55;58.97;216.19;231.50;Shale;0.311
W-0002;121.78;84.80;231.50;234.47;Limestone;0.146
W-0002;88.74;50.90;234.47;250.57;;0.013
W-0002;124.17;63.39;250.57;255.55;Sandstone;0.247
W-0002;109.11;61.40;255.55;260.44;Limestone;0.034
W-0002;129.06;83.52;260.44;261.89;Shale;0.325
W-0002;86.61;75.91;268.75;263.75;Shale;0.360
W-0002;109.93;54.02;263.75;275.97;Limestone;0.244
W-0002;111.64;53.72;275.97;285.25;Sandstone;0.328
W-0002;123.78;82.19;285.25;295.77;Dolomite;0.068
W-0002;100.60;69.18;295.77;308.69;Dolomite;0.141
W-0002;107.58;79.99;308.69;311.90;Sandstone;0.212
